scan_date,signal_date,expected_exit_date,ticker,company,sector,subsector,strategy,confidence,regime_today,cmp,open,high,low,close,volume,entry,target,stop_loss,expected_return_pct,expected_return_points,risk_pct,risk_points,risk_reward,target_hold_days,days_since_signal,days_remaining,holding_progress_pct,current_return_pct,target_progress_pct,distance_to_target_pct,distance_to_stop_pct,trade_status
2026-07-31 19:34:45,2026-07-31,2026-08-14 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.06,UPTREND,1816.2,1785.0,1826.6,1785.0,1816.2,2502212,1816.2,1995.85,1726.37,9.891531769628887,179.64999999999986,4.94604118489154,89.83000000000015,1.999888678615157,14.0,0,14.0,0.0,0.0,0.0,9.891531769628887,4.94604118489154,ACTIVE
2026-08-03 12:09:30,2026-08-03,2026-08-17 12:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.08,UPTREND,1825.0,1821.0,1838.3,1789.1,1825.0,1081268,1825.0,2005.88,1734.56,9.911232876712337,180.8800000000001,4.955616438356167,90.44000000000004,2.0,14.5,0,14.5,0.0,0.0,0.0,9.911232876712337,4.955616438356167,ACTIVE
2026-08-03 18:49:02,2026-08-03,2026-08-17 12:00:00,LAURUSLABS,,Healthcare,,PASS_combined,12.93,UPTREND,1811.4,1821.0,1838.3,1789.1,1811.4,1918082,1811.4,1992.28,1720.96,9.985646461300645,180.87999999999988,4.992823230650329,90.44000000000004,1.9999999999999976,14.5,0,14.5,0.0,0.0,0.0,9.985646461300645,4.992823230650329,ACTIVE
2026-08-04 11:36:41,2026-08-04,2026-08-18 12:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.08,UPTREND,1826.4,1811.0,1832.5,1806.1,1826.4,660536,1826.4,2000.76,1739.22,9.546649145860703,174.3599999999999,4.773324572930358,87.18000000000006,1.999999999999997,14.5,0,14.5,0.0,0.0,0.0,9.546649145860703,4.773324572930358,ACTIVE
2026-08-04 17:46:45,2026-08-04,2026-08-19 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.26,UPTREND,1850.0,1811.0,1850.0,1806.1,1850.0,1404337,1850.0,2030.5,1759.75,9.756756756756758,180.5,4.878378378378379,90.25,2.0,15.0,0,15.0,0.0,0.0,0.0,9.756756756756758,4.878378378378379,ACTIVE
2026-08-05 11:33:23,2026-08-05,2026-08-20 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.13,UPTREND,1840.6,1854.0,1856.6,1834.5,1840.6,1203955,1840.6,2014.52,1753.64,9.449092687167232,173.92000000000007,4.724546343583604,86.95999999999981,2.0000000000000053,15.0,0,15.0,0.0,0.0,0.0,9.449092687167232,4.724546343583604,ACTIVE
2026-08-05 17:43:44,2026-08-05,2026-08-20 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.09,UPTREND,1835.0,1854.0,1856.6,1834.5,1835.0,2090240,1835.0,2008.92,1748.04,9.477929155313356,173.92000000000007,4.738964577656677,86.96000000000004,2.0,15.0,0,15.0,0.0,0.0,0.0,9.477929155313356,4.738964577656677,ACTIVE
2026-08-06 11:37:14,2026-08-06,2026-08-21 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.06,UPTREND,1843.6,1843.0,1854.9,1837.0,1843.6,1222690,1843.6,2010.78,1760.01,9.068127576480803,167.18000000000006,4.534063788240395,83.58999999999992,2.0000000000000027,15.0,0,15.0,0.0,0.0,0.0,9.068127576480803,4.534063788240395,ACTIVE
2026-08-06 17:46:15,2026-08-06,2026-08-21 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,12.96,UPTREND,1830.0,1843.0,1854.9,1830.0,1830.0,2037365,1830.0,1998.61,1745.69,9.213661202185786,168.6099999999999,4.607103825136609,84.30999999999995,1.999881390107935,15.0,0,15.0,0.0,0.0,0.0,9.213661202185786,4.607103825136609,ACTIVE
2026-08-07 10:34:59,2026-08-07,2026-08-22 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.16,UPTREND,1844.9,1838.0,1848.0,1833.2,1844.9,536055,1844.9,2010.63,1762.04,8.983142717762481,165.73000000000002,4.49130034148193,82.86000000000013,2.000120685493601,15.0,0,15.0,0.0,0.0,0.0,8.983142717762481,4.49130034148193,ACTIVE
2026-08-07 16:35:39,2026-08-07,2026-08-22 00:00:00,LAURUSLABS,,Healthcare,,PASS_combined,13.09,UPTREND,1844.3,1838.0,1856.0,1833.2,1844.3,1553047,1844.3,2008.3,1762.3,8.892262647074771,164.0,4.446131323537386,82.0,2.0,15.0,0,15.0,0.0,0.0,0.0,8.892262647074771,4.446131323537386,ACTIVE
