ticker,signals_today,confidence,rank_score,portfolio_rank,regime_today,run_id,timestamp,date
LAURUSLABS,True,13.06,50.46,1,UPTREND,20260731_193445,2026-07-31 19:34:45.407247+05:30,2026-07-31
LAURUSLABS,True,12.93,50.31,1,UPTREND,20260803_184902,2026-08-03 18:49:02.050532+05:30,2026-08-03
LAURUSLABS,True,13.26,50.56,1,UPTREND,20260804_174645,2026-08-04 17:46:45.378004+05:30,2026-08-04
LAURUSLABS,True,13.09,50.49,1,UPTREND,20260805_174344,2026-08-05 17:43:44.791409+05:30,2026-08-05
LAURUSLABS,True,12.96,50.44,1,UPTREND,20260806_174615,2026-08-06 17:46:15.197306+05:30,2026-08-06
LAURUSLABS,True,13.09,50.52,1,UPTREND,20260807_163539,2026-08-07 16:35:39.075685+05:30,2026-08-07
LAURUSLABS,True,13.14,50.55,1,UPTREND,20260810_164949,2026-08-10 16:49:49.118847+05:30,2026-08-10
LAURUSLABS,True,13.19,50.59,1,UPTREND,20260811_163339,2026-08-11 16:33:39.757658+05:30,2026-08-11
LAURUSLABS,True,12.97,50.44,1,UPTREND,20260812_163946,2026-08-12 16:39:46.708194+05:30,2026-08-12
LAURUSLABS,True,12.94,50.48,1,UPTREND,20260813_164009,2026-08-13 16:40:09.979598+05:30,2026-08-13
LAURUSLABS,False,11.95,49.51,1,,20260814_163739,2026-08-14 16:37:39.115071+05:30,2026-08-14
LAURUSLABS,True,11.83,49.41,1,UPTREND,20260817_161642,2026-08-17 16:16:42.180405+05:30,2026-08-17
LAURUSLABS,True,11.85,49.3,1,UPTREND,20260818_161417,2026-08-18 16:14:17.317208+05:30,2026-08-18
LAURUSLABS,True,11.76,49.33,1,UPTREND,20260819_161352,2026-08-19 16:13:52.099528+05:30,2026-08-19
LAURUSLABS,True,11.9,49.09,1,UPTREND,20260820_093202,2026-08-20 09:32:02.427559+05:30,2026-08-20
