ticker,expectancy,win_rate,cagr_%,max_drawdown_%,profit_factor,reward_risk_ratio,run_id,timestamp,date
LAURUSLABS,2.41,51.0,-12.92,-80.69,2.13,2.05,20260731_193445,2026-07-31 19:34:45.407247+05:30,2026-07-31
LAURUSLABS,2.4,50.9,-13.14,-80.69,2.13,2.05,20260803_184902,2026-08-03 18:49:02.050532+05:30,2026-08-03
LAURUSLABS,2.45,51.2,-12.71,-80.69,2.15,2.06,20260804_174645,2026-08-04 17:46:45.378004+05:30,2026-08-04
LAURUSLABS,2.42,51.1,-13.07,-80.69,2.14,2.05,20260805_174344,2026-08-05 17:43:44.791409+05:30,2026-08-05
LAURUSLABS,2.41,51.0,-13.06,-80.69,2.14,2.05,20260806_174615,2026-08-06 17:46:15.197306+05:30,2026-08-06
LAURUSLABS,2.43,51.1,-12.88,-80.69,2.15,2.06,20260807_163539,2026-08-07 16:35:39.075685+05:30,2026-08-07
LAURUSLABS,2.44,51.3,-12.81,-80.69,2.16,2.04,20260810_164949,2026-08-10 16:49:49.118847+05:30,2026-08-10
LAURUSLABS,2.45,51.5,-12.79,-80.69,2.16,2.03,20260811_163339,2026-08-11 16:33:39.757658+05:30,2026-08-11
LAURUSLABS,2.43,51.2,-12.9,-80.69,2.15,2.06,20260812_163946,2026-08-12 16:39:46.708194+05:30,2026-08-12
LAURUSLABS,2.43,51.1,-12.84,-80.69,2.15,2.06,20260813_164009,2026-08-13 16:40:09.979598+05:30,2026-08-13
LAURUSLABS,2.29,50.0,-13.52,-80.69,2.07,2.07,20260814_163739,2026-08-14 16:37:39.115071+05:30,2026-08-14
LAURUSLABS,2.28,49.9,-13.61,-80.69,2.06,2.07,20260817_161642,2026-08-17 16:16:42.180405+05:30,2026-08-17
