Metric,Value
Total Orders,2.0
Buy Orders,2.0
Sell Orders,0.0
Executed Value,10004576.158185
Portfolio Turnover,1.0004576158185
Estimated Cost,10502.30507200128
Slippage Cost,4999.788184999529
Valid Orders,0.0
Rejected Orders,2.0
Average Order Value,5002288.0790925
Average Quantity,9278.0
Average Fill Price,731.8807575
Execution Efficiency,0.9989502498750624
Average Participation Rate,0.0
Fill Rate,1.0
Total Orders,2.0
Buy Orders,2.0
Sell Orders,0.0
Executed Value,10004576.158185
Portfolio Turnover,1.0004576158185
Estimated Cost,10502.30507200128
Slippage Cost,4999.788184999529
Valid Orders,0.0
Rejected Orders,2.0
Average Order Value,5002288.0790925
Average Quantity,9278.0
Average Fill Price,731.8807575
Execution Efficiency,0.9989502498750624
Average Participation Rate,0.0
Fill Rate,1.0
Total Orders,1.0
Buy Orders,1.0
Sell Orders,0.0
Executed Value,10004665.833
Portfolio Turnover,1.0004665833000002
Estimated Cost,10502.399208149094
Slippage Cost,4999.832999999094
Valid Orders,0.0
Rejected Orders,1.0
Average Order Value,10004665.833
Average Quantity,6590.0
Average Fill Price,1518.1587
Execution Efficiency,0.9989502498750624
Average Participation Rate,0.0
Fill Rate,1.0
Total Orders,1.0
Buy Orders,1.0
Sell Orders,0.0
Executed Value,10004665.833
Portfolio Turnover,1.0004665833000002
Estimated Cost,10502.399208149094
Slippage Cost,4999.832999999094
Valid Orders,0.0
Rejected Orders,1.0
Average Order Value,10004665.833
Average Quantity,6590.0
Average Fill Price,1518.1587
Execution Efficiency,0.9989502498750625
Average Participation Rate,0.0
Fill Rate,1.0
